University,City,State,Application fee,Tution fee,Living Expences,Part time jobs,GRE,GMAT,IELTS,TOEFL,PTE,Duolingo,GPA,Programs,CS,IT,BA,DS,CE,DE,IS,AI,CSEC,ECS,ML,SE,IM
Massachusetts Institute of Technology,Cambridge,MA,$75 ,"$53,033 ",90,50,320,690-760,7,90,65,120,3.7/4,"ECS,CS,BA","$29,000 ",,"$85,500 ",,,,,,,"$55,500 ",,,
Carnegie Mellon University,Pittsburgh,PA,$75 ,"$52,500 ",87,50,318,700,7,100,,130,3.7/4,"CS,DS,ECS,IT,IS,ML,SE,AI,BA","$52,400 ","$45,000 ","$70,000 ","$52,000 ",,,"$50,100 ","$53,500 ",,"$46,900 ","$52,000 ","$52,300 ",
Stanford University,Stanford,CA,$85 ,"$47,700 ",95,50,320,,,89-109,,,3.7/4,"CS,DS","$46,700 ",,,"$29,000 ",,,,,,,,,
California Institute of Technology,Pasadena,CA,$100 ,"$59,000 ",95,50,320,700,7,100,,130,3.7/4,CS,"$59,000 ",,,,,,,,,,,,
University of Illinois--Urbana-Champaign,Urbana,IL,$90 ,"$37,000 ",60,50,,,7,90,,,3.7/4,"CS,ECS,IS,IM,BA","$36,700 ",,"$48,000 ",,,,"$28,800 ",,,"$36,800 ",,,"$28,800 "
Columbia University,Ithaca,NY,$85 ,"$68,000 ",90,50,320,680,7,100,,120,3.7/4,"CS,DS,BA,CE,CSEC",,"$68,000 ","$48,400 ","$68,400 ","$68,000 ",,,,"$34,000 ",,,,
Georgia Institute of Technology,Atlanta,GA,$75 ,"$30,000 ",78,50,,,6.5,79,,,3.7/4,"CS,ECS,CSEC","$18,300 ",,,,,,,,"$19,500 ","$42,700 ",,,
University of Washington,Seattle,WA,$85 ,"$20,000 ",77,50,320,695,,100,,,3.7/4,"CS,DS,IM,SE,BA,IS,CSEC","$17,000 ",,"$54,000 ","$32,550 ",,,"$47,400 ",,"$20,000 ",,,"$20,000 ","$17,500 "
Princeton University,Princeton,NJ,$90 ,"$50,000 ",85,50,324,700,7,90,,,3.7/4,CS,"$54,700 ",,,,,,,,,,,,
Rice University,Houston,TX,$75 ,"$50,000 ",70,50,320,,7,100,,115,3.7/4,"CS,ECS","$54,100 ",,,,,,,,,"$44,000 ",,,
University of California Berkeley,Berkeley,CA,$85 ,"$30,000 ",85,50,320,,7,100,,,3.7/4,"CS,DS","$26,800 ",,,"$74,000 ",,,,,,,,,
Columbia University,New York,NY,$85 ,"$60,000 ",92,50,320,,7,100,,120,3.7/4,"CS,DS,CSEC","$68,400 ",,,"$68,400 ",,,,,"$34,000 ",,,,
University of California--Los Angeles,Los Angeles,CA,$90 ,"$30,000 ",80,50,320,,7,87,,,3.7/4,"CS,BA,AI","$12,000 ",,"$12,000 ",,,,,"$33,300 ",,,,,
University of Southern California,La Jolla,CA,$90 ,"$40,000 ",85,50,318,700,7,100,,130,3.7/4,"CS,DS,CSEC,SE,ML","$43,000 ",,,"$37,000 ",,,,,"$43,100 ",,"$74,000 ","$50,000 ",
University of Michigan--Ann Arbor,Ann Arbor,MI,$60 ,"$60,000 ",85,50,320,,7,100,,,3.7/4,"CS,ECS,IS,BA","$1,00,000",,"$64,300 ",,,,"$62,600 ",,,"$90,000 ",,,
Harvard University,Cambridge,MA,$85 ,"$85,000 ",90,50,310,670,6.5,90,,,3.7/4,"DS,SE,CS","$89,000 ",,,"$89,000 ",,,,,,,,"$20,000 ",
University of Maryland--College Park,College Park,MD,$75 ,"$30,000 ",70,50,315,,7,95,,120,3.7/4,"CS,ECS,IS,IM,ML","$26,540 ",,,,,,"$60,000 ",,,"$26,540 ","$26,600 ",,"$31,850 "
University of Pennsylvania,Philadelphia,PA,$75 ,"$35,000 ",65,50,321,620-780,7,100,,120,3.7/4,"CS,DS","$37,777 ",,,"$48,860 ",,,,,,,,,
University of Wisconsin--Madison,Madison,WI,$60 ,"$30,000 ",65,50,320,690,7.5,100,,,3.7/4,"CS,ECS","$25,980 ",,,,,,,,,"$28,980 ",,,
Johns Hopkins University,Baltimore,MD,$70 ,"$50,000 ",60,50,320,,7,100,,,3.7/4,"CS,BA","$60,000 ",,"$80,000 ",,,,,,,,,,
Purdue University--West Lafayette,West Lafayette,IN,$75 ,"$30,000 ",75,50,320,,7,100,,,3.7/4,"CS,ECS,IS,DS","$23,500 ",,,"$17,625 ",,,"$42,390 ",,,"$17,625 ",,,
Yale University,New Haven,CT,$80 ,"$55,000 ",82,50,300,700,7,100,54,,3.7/4,CS,"$62,250 ",,,,,,,,,,,,
Duke University,Durham,NC,$95 ,"$61,000 ",59,50,300,680,7,90,70,115,3.7/4,"CS,DS,CSEC,ECS","$30,110 ",,,"$30,110 ",,,,,"$60,000 ","$30,250 ",,,
Tufts University,Amherst,MA,$85 ,"$51,000 ",87,50,310,,6.5,90,,110,3.7/4,"CS,DS,CE","$50,100 ",,,"$50,900 ","$50,900 ",,,,,,,,
University of California Santa Barbara,Santa Barbara,CA,$80 ,"$25,000 ",78,50,300,600,7,80,60,,3.7/4,"CS,ECS","$13,000 ",,,,,,,,,"$28,000 ",,,
Brown University,Providence,RI,$75 ,"$61,000 ",82,50,300,600,6.5,79,54,,3.7/4,"DS,CS","$37,800 ",,,"$82,900 ",,,,,,,,,
University of North Carolina--Chapel Hill,Chapel Hill,NC,$85 ,"$30,000 ",61,50,320,,7,90,,,3.7/4,"CS,DS","$23,580 ",,,"$24,100 ",,,,,,,,,
Northwestern University,Evanston,IL,$60 ,"$55,000 ",74,50,320,,7,,,,3.7/4,"CS,IS,CE,IT","$62,163 ","$57,465 ",,,"$82,900 ",,"$53,250 ",,,,,,
University of Texas at Austin,Austin,TX,$90 ,"$24,000 ",62,50,320,650-740,7.5,105,,,3.7/4,"CS,ECS,IT,SE,IS","$18,200 ","$53,000 ",,,,,"$36,000 ",,,"$20,600 ",,"$17,000 ",
University of California--Irvine,Irvine,CA,$100 ,"$30,000 ",92,50,320,,7,100,,,3.7/4,"CS,ECS,SE","$26,800 ",,,,,,,,,"$26,550 ",,"$26,550 ",
University of California San Diego,Santa Barbara,CA,$80 ,"$23,000 ",82,50,320,,7,83,,,3.4/4,"CS,DS,ECS","$11,550 ",,,"$20,650 ",,,,,,"$11,450 ",,,
University of Chicago,Chicago,IL,$75 ,"$56,000 ",90,50,325,700,7,104,,,3.4/4,CS,"$56,000 ",,,,,,,,,,,,
University of Virginia,Charlottesville,VA,$90 ,"$35,000 ",82,50,300,600,7,80,54,,3.4/4,"CS,DS","$31,600 ",,,"$48,250 ",,,,,,,,,
Boston College,Boston,MA,$75 ,"$60,000 ",86,50,310,,7,,,,3.4/4,CS,"$60,000 ",,,,,,,,,,,,
Ohio State University,Columbus,OH,$70 ,"$45,000 ",57,60,,600,6,72,76,,3.4/4,"CS,ECS","$43,200 ",,,,,,,,,"$36,000 ",,,
Pennsylvania State University--University Park,University Park,PA,$65 ,"$35,000 ",70,50,314,700,6.5,80,,,3.4/4,"CS,DS,BA,CSEC,CE","$33,400 ",,"$43,300 ","$28,200 ","$54,000 ",,,,"$43,000 ",,,,
University of Minnesota--Twin Cities,Minneapolis,MN,$50 ,"$25,000 ",60,50,310,,6.5,80,59,,3.4/4,"CS,DS,ECS,SE","$36,900 ",,,"$20,400 ",,,,,,"$46,000 ",,"$22,000 ",
Stony Brook University SUNY,New York,NY,$50 ,"$25,000 ",60,50,310,,7,90,,,3.4/4,"CS,IS","$19,260 ",,,,,,"$19,260 ",,,,,,
"Rutgers, The State University of New Jersey--New Brunswick",Piscataway,NJ,$70 ,"$26,000 ",62,50,310,,7,90,,,3.4/4,"CS,DS,IT","$24,000 ","$29,000 ",,"$26,000 ",,,,,,,,,
Texas A&M University-College Station,College Station,TX,$75 ,"$26,000 ",61,50,313,,6,80,53,,3.4/4,"CS,CSEC","$25,000 ",,,,,,,,"$18,700 ",,,,
University of Colorado--Boulder,Boulder,CO,$70 ,"$35,800 ",77,50,310,,6,70,,,3.4/4,"CS,DS,IS","$35,900 ",,,"$44,250 ",,,"$38,900 ",,,,,,
William & Mary,Blacksburg,VA,$60 ,"$35,000 ",63,50,315,,7,,,,3.4/4,"CS,BA","$35,200 ",,"$48,500 ",,,,,,,,,,
Syracuse University,Stony Brook,NY,$75 ,"$30,000 ",89,50,,,6.5,90,,110,3.4/4,"CS,IS,CSEC","$27,100 ",,,,,,"$62,500 ",,"27,100",,,,
Santa Clara University,Santa Clara,CA,$60 ,"$30,000 ",70,50,,,6.5,,,,3.4/4,"CS,IS,BA","$25,800 ",,"$42,900 ",,,,"$29,600 ",,,,,,
University of Florida,Gainesville,FL,$30 ,"$30,000 ",55,50,,,6.5,80,,,3.0/4,"CS,IS","$30,100 ",,,,,,"$30,200 ",,,,,,
University of Utah,Salt Lake City,UT,$65 ,"$20,000 ",71,50,,,6,100,54,,3.0/4,"CS,IS","$15,600 ",,,,,,"$54,000 ",,,,,,
Washington University in St. Louis,St. Louis,MO,$75 ,"$58,000 ",94,50,310,690,6.5,90,,115,3.4/4,"CS,CSEC,BA","$59,500 ",,"$58,000 ",,,,,,"$60,000 ",,,,
Northeastern University,Boston,MA,$75 ,"$32,000 ",82,$60 ,,,7,80-100,54,105,3.4/4,"CS,IS,DS,BS,AI,CSEC,SE","$26,000 ",,"$50,000 ","$27,000 ",,,"$27,000 ","$26,500 ","$24,000 ",,,"$27,000 ",
Arizona State University,Tempe,AZ,$80 ,"$30,000 ",73,65,305,650,6.5,79,54,,3.4/4,"CS,IS,CSEC","$26,500 ",,,,,,"$26,400 ",,"$22,500 ",,,,
Dartmouth College,Hanover,NH,$80 ,"$60,000 ",93,50,322,720,7,100,,120,3.4/4,CS,"$60,000 ",,,,,,,,,,,,
North Carolina State University,Raleigh,NC,$75 ,"$48,000 ",60,60,310,,6.5,,,,3.0/4,"CS,CE,DS,SE","$48,000 ",,,"$25,000 ","$48,000 ",,,,,,,"$32,000 ",
University of Arizona,Tucson,AZ,$80 ,"$35,000 ",67,60,310,,6.5,,,,3.0/4,"CS,IS,BA,DS","$34,000 ",,"$44,260 ","$33,490 ",,,"$63,800 ",,,,,,
University of San Diego,Santa Cruz,CA,$55 ,"$50,000 ",70,50,300,600,6.5,80,54,,3.0/4,"BA,CSEC",,,"$54,000 ",,,,,,"$22,500 ",,,,
Grinnell College,Grinnell,IA,$50 ,"$25,000 ",58,50,,,6.5,,,,3.0/4,CS,"$25,000 ",,,,,,,,,,,,
University of Notre Dame,Notre Dame,IN,$75 ,"$60,000 ",82,50,295,550,6.5,80,,,3.0/4,"CS,BA","$90,000 ",,"$54,000 ",,,,,,,,,,
Indiana University--Bloomington,Bloomington,IN,$70 ,"$22,000 ",66,50,300,,6.5,,,,3.0/4,"CS,IS,DS","$33,000 ",,,"$24,000 ",,,"$27,000 ",,,,,,
University of Rochester,Rochester,NY,$70 ,"$60,000 ",59,50,300,,7,85,55,,3.0/4,"CS,DS,ECS","$60,300 ",,,"$60,300 ",,,,,,"$56,700 ",,,
University of Pittsburgh,Pittsburgh,PA,$75 ,"$45,000 ",68,50,300,,6.5,,,,3.0/4,"CS,IS,ECS,BA","$44,500 ",,"$44,500 ",,,,"$36,700 ",,,"$48,300 ",,,
Cornell University,Rochester,NY,$80 ,"$33,000 ",65,50,295,700,7,100,54,,3.0/4,"CS,IS,BA","$29,400 ",,"$59,800 ",,,,"$62,500 ",,,,,,
Vanderbilt University,Nashville,TN,$50 ,"$33,000 ",64,60,,,7,100,70,,3.0/4,"CS,DS","$33,400 ",,,"$51,200 ",,,,,,,,,
Wake Forest University,Winston-Salem,NC,$75 ,"$38,400 ",63,50,,,6.5,,,,3.0/4,"CS,BA","$39,000 ",,"$54,200 ",,,,,,,,,,
Michigan State University,East Lansing,MI,$75 ,"$33,000 ",59,50,310,600,6.5,80,54,,3.0/4,"CS,BA","$30,000 ",,"$39,000 ",,,,,,,,,,
California State University,Northridge,CA,$70 ,"$20,000 ",65,50,300,,6.5,,,,3.0/4,CS,"$16,000 ",,,,,,,,,,,,
University of Illinois--Chicago,Chicago,IL,$70 ,"$20,000 ",70,60,310,650,6.5,79,54,,3.4/4,"CS,IS,BA","$19,000 ",,"$46,300 ",,,,"$46,300 ",,,,,,
Case Western Reserve University,Cleveland,OH,$60 ,"$32,000 ",62,60,300,,6.5,,,,3.0/4,CS,"32,000",,,,,,,,,,,,
University of Richmond,Richmond,VA,$50 ,"$15,000 ",71,60,,,7.5,100,,125,3.7/4,CS,"$15,000 ",,,,,,,,,,,,
Iowa State University,Ames,IA,$70 ,"$30,000 ",58,50,300,,6.5,,,,3.0/4,"CS,IS,AI,ECS,CE","$23,800 ",,,,"$26,700 ",,"$30,000 ","$54,000 ",,"$30,000 ",,,
Oregon State University,Corvallis,OR,$85 ,"$32,000 ",65,50,,,6.5,,,,3.0/4,"CS,ECS","$24,500 ",,,,,,,,,"$24,000 ",,,
Syracuse University,Syracuse,NY,$75 ,"$30,000 ",68,50,,,6.5,90,,110,3.0/4,"CS,IS,CSEC","$27,400 ",,,,,,"$62,300 ",,"$27,400 ",,,,
Southern Methodist University,Richardson,TX,$75 ,"$25,000 ",65,60,,,6.5,,,,3.0/4,"CS,BA,SE,CSEC","$18,000 ",,"$43,800 ",,,,,,"$18,000 ",,,"$18,000 ",
University of Washington,Bothell,WA,$85 ,"$27,000 ",60,60,308,450,6.5,83,,105,3.0/4,"CS,CSEC","$26,550 ",,,,,,,,"$26,550 ",,,,
Binghamton University SUNY,Syracuse,NY,$75 ,"$20,000 ",71,65,,,6.5,80-95,,,3.0/4,"CS,ECS","$20,000 ",,,,,,,,,"$20,000 ",,,
San Jose State University,San Jose,CA,$70 ,"$17,000 ",95,50,,,6.5,80,53,,3.0/4,"CS,SE,DS","$17,000 ",,,"$14,500 ",,,,,,,,"$17,000 ",
Boston University,Medford,MA,$80 ,"$45,000 ",95,60,315,650,7,84,,110,3.0/4,"CS,AI,DS","$60,000 ",,,"$45,700 ",,,,"$61,000 ",,,,,
University of Central Florida,Orlando,FL,$30 ,"$18,000 ",70,60,310,,6.5,85,,,3.4/4,"CS,BA,DS","$18,000 ",,"$18,000 ","$18,000 ",,,,,,,,,
University of Iowa,Iowa City,IA,$60 ,"$30,000 ",78,60,,,6.5,80,,105,3.0/4,"CS,BA","$26,700 ",,"$37,450 ",,,,,,,,,,
William & Mary,Williamsburg,VA,$50 ,"$35,000 ",68,60,,,6.5,,,,3.0/4,"CS,BA","$35,500 ",,"$48,800 ",,,,,,,,,,
Drexel University,Philadelphia,PA,$65 ,"$35,500 ",71,60,310,,6.5,,,,3.0/4,"CS,BA","$31,000 ",,"$35,500 ",,,,,,,,,,
Emory University,Atlanta,GA,$75 ,"$24,000 ",68,65,300,640,6.5,80,54,,3.0/4,CS,"$45,000 ",,,,,,,,,,,,
George Washington University,Washington,DC,$75 ,"$30,000 ",80,68,310,,6,80,,,3.0/4,"CS,DS,BA,CE,CSEC","$30,000 ",,"$54,000 ","$28,000 ","$29,000 ",,,,"$33,330 ",,,,
University of Denver,Denver,CO,$75 ,"$35,000 ",90,70,,,6.5,80,,,3.0/4,"CS,DS,BA","$36,500 ",,"$65,000 ","$36,000 ",,,,,,,,,
SUNY Buffalo,Buffalo,NY,$70 ,"$25,000 ",76,75,305,,6.5,88,,,3.0/4,"CS,IS,DS","$20,000 ",,,"$29,000 ",,,"$40,000 ",,,,,,
University of Connecticut,Storrs,CT,$75 ,"$26,000 ",79,65,295,500,6.5,79,54,,3.0/4,"CS,BA","$40,000 ",,"$21,000 ",,,,,,,,,,
Virginia Tech,Blacksburg,VA,$75 ,"$27,000 ",68,75,300,550,6.5,80,,,3.0/4,"CE,ECS",,,,,"$24,000 ",,,,,"$24,000 ",,,
California State University,Fullerton,CA,$70 ,"$25,000 ",80,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Maryland--Baltimore County,Baltimore,MD,$75 ,"$25,000 ",68,70,300,,6.5,80,,,3.0/4,"CS,DS,IS,SE","$20,000 ",,,"$27,000 ",,,"$23,000 ",,,,,"$21,000 ",
University of Oregon,Eugene,OR,$70 ,"$34,000 ",79,60,310,610,6.5,88,,120,3.0/4,"CS,BA","$47,000 ",,"$29,000 ",,,,,,,,,,
Washington State University,Pullman,WA,$70 ,"$26,000 ",72,55,300,,6.5,,,,3.0/4,CS,"$20,780 ",,,,,,,,,,,,
Clemson University,Clemson,SC,$80 ,"$28,000 ",82,65,300,,6.5,,,,3.0/4,"CS,DS","$22,500 ",,,"$27,800 ",,,,,,,,,
Colorado School of Mines,Golden,CO,$95 ,"$44,500 ",82,60,305,640,6.5,79,,105,3.0/4,CS,"$44,500 ",,,,,,,,,,,,
Florida State University,Tallahassee,FL,$30 ,"$26,000 ",67,73,300,,6.5,,,,3.0/4,"CS,DS,BA","$22,300 ",,"$36,500 ","$22,400 ",,,,,,,,,
Georgetown University,Washington,DC,$75 ,"$40,000 ",84,69,320,650,7,100,68,,3.0/4,"CS,DS","$35,550 ",,,"$53,650 ",,,,,,,,,
Stevens Institute of Technology,Hoboken,NJ,$70 ,"$45,000 ",89,70,300,,6.5,,,,3.0/4,"CS,IS,DS,CSEC,ML,AI","$39,600 ",,,"$43,500 ",,,"$31,750 ","$25,400 ","$51,450 ",,"$43,750 ",,
California State University,Long Beach,CA,$70 ,"$25,000 ",85,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Delaware,Newark,DE,$75 ,"$21,000 ",66,66,300,550,6.5,80,,,3.0/4,"CS,DS,BA","$40,000 ",,"$30,000 ","$16,700 ",,,,,,,,,
George Mason University,Fairfax,VA,$80 ,"$37,000 ",76,72,300,,6.5,88,59,,3.0/4,"CS,BA,IS,DS","$29,500 ",,"$60,000 ","$22,500 ",,,"$29,800 ",,,,,,
University of Nebraska--Lincoln,Lincoln,NE,$50 ,"$25,000 ",64,50,308,,6.5,90,,,3.0/4,CS,"$20,000 ",,,,,,,,,,,,
Auburn University,Auburn,AL,$70 ,"$40,000 ",79,65,300,,6.5,80,,,3.0/4,CS,"$40,000 ",,,,,,,,,,,,
Colorado State University,Fort Collins,CO,$70 ,"$33,000 ",75,69,300,,6.5,,,,3.0/4,"CS,IS","$38,000 ",,,,,,"$33,000 ",,,,,,
Lehigh University,Bethlehem,PA,$75 ,"$30,000 ",83,59,310,660,7,90,,110,3.0/4,"CS,CE","$30,000 ",,,,"$30,000 ",,,,,,,,
Illinois State University,Normal,IL,$80 ,"$22,000 ",64,55,300,,6.5,,,,3.0/4,"CS,IS","$20,000 ",,,,,,"$15,000 ",,,,,,
New Jersey Institute of Technology,Newark,NJ,$75 ,"$33,000 ",76,64,296,,6,79,,,3.0/4,"CS,DS,IS","$25,500 ",,,"$34,600 ",,,"$25,760 ",,,,,,
Saint Louis University,St. Louis,MO,$70 ,"$20,000 ",72,70,300,590,6.5,80,,,3.0/4,"CS,BA,DS","$21,000 ",,"$11,000 ","$19,000 ",,,,,,,,,
University of Georgia,Athens,GA,$100 ,"$20,000 ",67,65,,,6.5,80,,105,3.0/4,"CS,AI,BA","$16,000 ",,"$32,400 ",,,,,"$31,200 ",,,,,
University of Kansas,Lawrence,KS,$60 ,"$32,000 ",67,50,295,540,6.5,80,,,3.0/4,"CS,CE","$29,800 ",,,,"$14,500 ",,,,,,,,
University of Tennessee--Knoxville,Knoxville,TN,$60 ,"$30,000 ",65,50,294,500,6.5,79,54,,3.0/4,"CS,BA,CE","$20,200 ",,"$53,500 ",,"$22,200 ",,,,,,,,
Baylor University,Arlington,TX,$50 ,"$40,000 ",84,78,300,,7,80,,125,3.0/4,"CS,IS","$41,200 ",,,,,,"$54,300 ",,,,,,
University of Massachusetts Amherst,Worcester,MA,$75 ,"$30,000 ",76,67,300,,6.5,79,,,3.0/4,"CS,ECS","$25,400 ",,,,,,,,,"$21,300 ",,,
Rochester Institute of Technology,Binghamton,NY,$65 ,"$40,000 ",87,78,300,550,6.5,79,58,,3.0/4,"CS,BA,SE","$54,000 ",,"$67,000 ",,,,,,,,,"$40,700 ",
Connecticut College,New London,CT,$70 ,"$35,000 ",72,50,300,,6.5,,,,3.0/4,CS,"$35,000 ",,,,,,,,,,,,
Brigham Young University,Provo,UT,$70 ,"$23,000 ",67,84,300,,7,85,58,105,3.0/4,"CS,BA,DS,ECS,IM","$12,500 ",,"$16,520 ","$16,520 ",,,,,,"$11,940 ",,,"$16,520 "
Illinois Institute of Technology,Chicago,IL,$75 ,"$39,000 ",63,80,300,600,6.5,80,53,105,3.0/4,"CS,IT,BA,DS,CE,IS,CSEC,ECS,ML,SE,IM","$36,600 ","$36,600 ","$36,600 ","$36,600 ","$36,600 ",,"$36,600 ",,"$36,600 ","$36,600 ","$36,600 ","$36,600 ","$36,600 "
"Rutgers, The State University of New Jersey--Newark",Newark,NJ,$70 ,"$32,304 ",67,50,300,550,6.5,79,53,105,3.0/4,"CS,IT,BA,DS,CE,IS,CSEC,ECS,ML,SE,IM","$32,304 ","$32,304 ","$32,304 ","$32,304 ","$32,304 ",,"$32,304 ",,"$32,304 ","$32,304 ","$32,304 ","$32,304 ","$32,304 "
Temple University,Philadelphia,PA,$60 ,"$28,176 ",73,75,300,550,6.5,88,58,110,3.0/4,"CS,IT,BA,DS,CE,DE,IS,CSEC,ECS,ML,SE,IM,AI","$26,994 ","$26,994 ","$30,168 ","$30,168 ","$26,994 ","$30,168 ","$26,994 ","$30,168 ","$26,994 ","$26,994 ","$30,168 ","$26,994 ","$26,994 "
University of New Mexico,Albuquerque,NM,$75 ,"$16,860 ",70,70,300,550,6.5,80,58,105,3.0/4,"CS,BA,DS,IS","$17,000 ",,"$21,000 ","$21,000 ",,,"$23,000 ",,,,,,
University of North Carolina--Charlotte,Charlotte,NC,$85 ,"$22,000 ",66,80,300,550,6.5,80,58,110,3.0/4,"CS,IT,BA,DS,CE,DE,IS,CSEC,ECS,ML,SE,IM,AI","$20,800 ","$19,500 ","$33,600 ","$33,600 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$19,500 "
